Pre-Tax Cost: 10.00, Tax rate: %0.00, Post tax price: 10.00
Pre-Tax Cost: 10.50, Tax rate: %0.00, Post tax price: 10.50
Pre-Tax Cost: 20.00, Tax rate: %0.00, Post tax price: 20.00
Pre-Tax Cost: 30.00, Tax rate: %0.00, Post tax price: 30.00
Pre-Tax Cost: 40.00, Tax rate: %0.00, Post tax price: 40.00
Pre-Tax Cost: 50.00, Tax rate: %0.00, Post tax price: 50.00
Pre-Tax Cost: 30.00, Tax rate: %2.90, Post tax price: 30.87
Pre-Tax Cost: 40.00, Tax rate: %2.90, Post tax price: 41.16
Pre-Tax Cost: 50.00, Tax rate: %2.90, Post tax price: 51.45
Pre-Tax Cost: 10.00, Tax rate: %2.90, Post tax price: 10.29
Pre-Tax Cost: 10.50, Tax rate: %2.90, Post tax price: 10.80
Pre-Tax Cost: 20.00, Tax rate: %2.90, Post tax price: 20.58
Pre-Tax Cost: 10.00, Tax rate: %4.00, Post tax price: 10.40
Pre-Tax Cost: 10.50, Tax rate: %4.00, Post tax price: 10.92
Pre-Tax Cost: 20.00, Tax rate: %4.00, Post tax price: 20.80
Pre-Tax Cost: 30.00, Tax rate: %4.00, Post tax price: 31.20
Pre-Tax Cost: 40.00, Tax rate: %4.00, Post tax price: 41.60
Pre-Tax Cost: 50.00, Tax rate: %4.00, Post tax price: 52.00
Pre-Tax Cost: 10.00, Tax rate: %4.20, Post tax price: 10.42
Pre-Tax Cost: 10.50, Tax rate: %4.20, Post tax price: 10.94
Pre-Tax Cost: 20.00, Tax rate: %4.20, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %4.20, Post tax price: 31.26
Pre-Tax Cost: 40.00, Tax rate: %4.20, Post tax price: 41.68
Pre-Tax Cost: 50.00, Tax rate: %4.20, Post tax price: 52.10
Pre-Tax Cost: 20.00, Tax rate: %4.23, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %4.23, Post tax price: 31.27
Pre-Tax Cost: 40.00, Tax rate: %4.23, Post tax price: 41.69
Pre-Tax Cost: 50.00, Tax rate: %4.23, Post tax price: 52.11
Pre-Tax Cost: 10.00, Tax rate: %4.23, Post tax price: 10.42
Pre-Tax Cost: 10.50, Tax rate: %4.23, Post tax price: 10.94
Pre-Tax Cost: 10.00, Tax rate: %7.25, Post tax price: 10.72
Pre-Tax Cost: 10.50, Tax rate: %7.25, Post tax price: 11.26
Pre-Tax Cost: 20.00, Tax rate: %7.25, Post tax price: 21.45
Pre-Tax Cost: 30.00, Tax rate: %7.25, Post tax price: 32.17
Pre-Tax Cost: 40.00, Tax rate: %7.25, Post tax price: 42.90
Pre-Tax Cost: 50.00, Tax rate: %7.25, Post tax price: 53.62
Pre-Tax Cost: 20.00, Tax rate: %0.00, Post tax price: 20.00
Pre-Tax Cost: 30.00, Tax rate: %0.00, Post tax price: 30.00
Pre-Tax Cost: 40.00, Tax rate: %0.00, Post tax price: 40.00
Pre-Tax Cost: 50.00, Tax rate: %0.00, Post tax price: 50.00
Pre-Tax Cost: 10.00, Tax rate: %0.00, Post tax price: 10.00
Pre-Tax Cost: 10.50, Tax rate: %0.00, Post tax price: 10.50
Pre-Tax Cost: 10.00, Tax rate: %2.90, Post tax price: 10.29
Pre-Tax Cost: 10.50, Tax rate: %2.90, Post tax price: 10.80
Pre-Tax Cost: 20.00, Tax rate: %2.90, Post tax price: 20.58
Pre-Tax Cost: 30.00, Tax rate: %2.90, Post tax price: 30.87
Pre-Tax Cost: 40.00, Tax rate: %2.90, Post tax price: 41.16
Pre-Tax Cost: 50.00, Tax rate: %2.90, Post tax price: 51.45
Pre-Tax Cost: 30.00, Tax rate: %4.00, Post tax price: 31.20
Pre-Tax Cost: 40.00, Tax rate: %4.00, Post tax price: 41.60
Pre-Tax Cost: 50.00, Tax rate: %4.00, Post tax price: 52.00
Pre-Tax Cost: 10.00, Tax rate: %4.00, Post tax price: 10.40
Pre-Tax Cost: 10.50, Tax rate: %4.00, Post tax price: 10.92
Pre-Tax Cost: 20.00, Tax rate: %4.00, Post tax price: 20.80
Pre-Tax Cost: 40.00, Tax rate: %4.20, Post tax price: 41.68
Pre-Tax Cost: 50.00, Tax rate: %4.20, Post tax price: 52.10
Pre-Tax Cost: 10.00, Tax rate: %4.20, Post tax price: 10.42
Pre-Tax Cost: 10.50, Tax rate: %4.20, Post tax price: 10.94
Pre-Tax Cost: 20.00, Tax rate: %4.20, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %4.20, Post tax price: 31.26
Pre-Tax Cost: 40.00, Tax rate: %4.23, Post tax price: 41.69
Pre-Tax Cost: 50.00, Tax rate: %4.23, Post tax price: 52.11
Pre-Tax Cost: 10.00, Tax rate: %4.23, Post tax price: 10.42
Pre-Tax Cost: 10.50, Tax rate: %4.23, Post tax price: 10.94
Pre-Tax Cost: 20.00, Tax rate: %4.23, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %4.23, Post tax price: 31.27
Pre-Tax Cost: 10.00, Tax rate: %7.25, Post tax price: 10.72
Pre-Tax Cost: 10.50, Tax rate: %7.25, Post tax price: 11.26
Pre-Tax Cost: 20.00, Tax rate: %7.25, Post tax price: 21.45
Pre-Tax Cost: 30.00, Tax rate: %7.25, Post tax price: 32.17
Pre-Tax Cost: 40.00, Tax rate: %7.25, Post tax price: 42.90
Pre-Tax Cost: 50.00, Tax rate: %7.25, Post tax price: 53.62
Pre-Tax Cost: 10.00, Tax rate: %0.00, Post tax price: 10.00
Pre-Tax Cost: 10.50, Tax rate: %0.00, Post tax price: 10.50
Pre-Tax Cost: 20.00, Tax rate: %0.00, Post tax price: 20.00
Pre-Tax Cost: 30.00, Tax rate: %0.00, Post tax price: 30.00
Pre-Tax Cost: 40.00, Tax rate: %0.00, Post tax price: 40.00
Pre-Tax Cost: 50.00, Tax rate: %0.00, Post tax price: 50.00
Pre-Tax Cost: 10.00, Tax rate: %2.90, Post tax price: 10.29
Pre-Tax Cost: 10.50, Tax rate: %2.90, Post tax price: 10.80
Pre-Tax Cost: 20.00, Tax rate: %2.90, Post tax price: 20.58
Pre-Tax Cost: 30.00, Tax rate: %2.90, Post tax price: 30.87
Pre-Tax Cost: 40.00, Tax rate: %2.90, Post tax price: 41.16
Pre-Tax Cost: 50.00, Tax rate: %2.90, Post tax price: 51.45
Pre-Tax Cost: 10.00, Tax rate: %4.00, Post tax price: 10.40
Pre-Tax Cost: 10.50, Tax rate: %4.00, Post tax price: 10.92
Pre-Tax Cost: 20.00, Tax rate: %4.00, Post tax price: 20.80
Pre-Tax Cost: 30.00, Tax rate: %4.00, Post tax price: 31.20
Pre-Tax Cost: 40.00, Tax rate: %4.00, Post tax price: 41.60
Pre-Tax Cost: 50.00, Tax rate: %4.00, Post tax price: 52.00
Pre-Tax Cost: 10.50, Tax rate: %4.20, Post tax price: 10.94
Pre-Tax Cost: 20.00, Tax rate: %4.20, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %4.20, Post tax price: 31.26
Pre-Tax Cost: 40.00, Tax rate: %4.20, Post tax price: 41.68
Pre-Tax Cost: 50.00, Tax rate: %4.20, Post tax price: 52.10
Pre-Tax Cost: 10.00, Tax rate: %4.20, Post tax price: 10.42
Pre-Tax Cost: 40.00, Tax rate: %4.23, Post tax price: 41.69
Pre-Tax Cost: 50.00, Tax rate: %4.23, Post tax price: 52.11
Pre-Tax Cost: 10.00, Tax rate: %4.23, Post tax price: 10.42
Pre-Tax Cost: 10.50, Tax rate: %4.23, Post tax price: 10.94
Pre-Tax Cost: 20.00, Tax rate: %4.23, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %4.23, Post tax price: 31.27
Pre-Tax Cost: 40.00, Tax rate: %7.25, Post tax price: 42.90
Pre-Tax Cost: 50.00, Tax rate: %7.25, Post tax price: 53.62
Pre-Tax Cost: 10.00, Tax rate: %7.25, Post tax price: 10.72
Pre-Tax Cost: 10.50, Tax rate: %7.25, Post tax price: 11.26
Pre-Tax Cost: 20.00, Tax rate: %7.25, Post tax price: 21.45
Pre-Tax Cost: 30.00, Tax rate: %7.25, Post tax price: 32.17
Pre-Tax Cost: 50.00, Tax rate: %0.00, Post tax price: 50.00
Pre-Tax Cost: 10.00, Tax rate: %0.00, Post tax price: 10.00
Pre-Tax Cost: 10.50, Tax rate: %0.00, Post tax price: 10.50
Pre-Tax Cost: 20.00, Tax rate: %0.00, Post tax price: 20.00
Pre-Tax Cost: 30.00, Tax rate: %0.00, Post tax price: 30.00
Pre-Tax Cost: 40.00, Tax rate: %0.00, Post tax price: 40.00
Pre-Tax Cost: 10.50, Tax rate: %2.90, Post tax price: 10.80
Pre-Tax Cost: 20.00, Tax rate: %2.90, Post tax price: 20.58
Pre-Tax Cost: 30.00, Tax rate: %2.90, Post tax price: 30.87
Pre-Tax Cost: 40.00, Tax rate: %2.90, Post tax price: 41.16
Pre-Tax Cost: 50.00, Tax rate: %2.90, Post tax price: 51.45
Pre-Tax Cost: 10.00, Tax rate: %2.90, Post tax price: 10.29
Pre-Tax Cost: 10.00, Tax rate: %4.00, Post tax price: 10.40
Pre-Tax Cost: 10.50, Tax rate: %4.00, Post tax price: 10.92
Pre-Tax Cost: 20.00, Tax rate: %4.00, Post tax price: 20.80
Pre-Tax Cost: 30.00, Tax rate: %4.00, Post tax price: 31.20
Pre-Tax Cost: 40.00, Tax rate: %4.00, Post tax price: 41.60
Pre-Tax Cost: 50.00, Tax rate: %4.00, Post tax price: 52.00
Pre-Tax Cost: 10.00, Tax rate: %4.20, Post tax price: 10.42
Pre-Tax Cost: 10.50, Tax rate: %4.20, Post tax price: 10.94
Pre-Tax Cost: 20.00, Tax rate: %4.20, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %4.20, Post tax price: 31.26
Pre-Tax Cost: 40.00, Tax rate: %4.20, Post tax price: 41.68
Pre-Tax Cost: 50.00, Tax rate: %4.20, Post tax price: 52.10
Pre-Tax Cost: 30.00, Tax rate: %4.23, Post tax price: 31.27
Pre-Tax Cost: 40.00, Tax rate: %4.23, Post tax price: 41.69
Pre-Tax Cost: 50.00, Tax rate: %4.23, Post tax price: 52.11
Pre-Tax Cost: 10.00, Tax rate: %4.23, Post tax price: 10.42
Pre-Tax Cost: 10.50, Tax rate: %4.23, Post tax price: 10.94
Pre-Tax Cost: 20.00, Tax rate: %4.23, Post tax price: 20.84
Pre-Tax Cost: 30.00, Tax rate: %7.25, Post tax price: 32.17
Pre-Tax Cost: 40.00, Tax rate: %7.25, Post tax price: 42.90
Pre-Tax Cost: 50.00, Tax rate: %7.25, Post tax price: 53.62
Pre-Tax Cost: 10.00, Tax rate: %7.25, Post tax price: 10.72
Pre-Tax Cost: 10.50, Tax rate: %7.25, Post tax price: 11.26
Pre-Tax Cost: 20.00, Tax rate: %7.25, Post tax price: 21.45
Pre-Tax Cost: 10.00, Tax rate: %0.00, Post tax price: 10.00
Pre-Tax Cost: 10.50, Tax rate: %0.00, Post tax price: 10.50
Pre-Tax Cost: 20.00, Tax rate: %0.00, Post tax price: 20.00
Pre-Tax Cost: 30.00, Tax rate: %0.00, Post tax price: 30.00
Pre-Tax Cost: 40.00, Tax rate: %0.00, Post tax price: 40.00
Pre-Tax Cost: 50.00, Tax rate: %0.00, Post tax price: 50.00
Pre-Tax Cost: 10.00, Tax rate: %2.90, Post tax price: 10.29
Pre-Tax Cost: 10.50, Tax rate: %2.90, Post tax price: 10.80
Pre-Tax Cost: 20.00, Tax rate: %2.90, Post tax price: 20.58
Pre-Tax Cost: 30.00, Tax rate: %2.90, Post tax price: 30.87
Pre-Tax Cost: 40.00, Tax rate: %2.90, Post tax price: 41.16
Pre-Tax Cost: 50.00, Tax rate: %2.90, Post tax price: 51.45
Pre-Tax Cost: 10.00, Tax rate: %4.00, Post tax price: 10.40
Pre-Tax Cost: 10.50, Tax rate: %4.00, Post tax price: 10.92
Pre-Tax Cost: 20.00, Tax rate: %4.00, Post tax price: 20.80
Pre-Tax Cost: 30.00, Tax rate: %4.00, Post tax price: 31.20
Pre-Tax Cost: 40.00, Tax rate: %4.00, Post tax price: 41.60
Pre-Tax Cost: 50.00, Tax rate: %4.00, Post tax price: 52.00
Pre-Tax Cost: 10.50, Tax rate: %4.20, Post tax price: 10.94
